ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,TechCorp Solutions,5,T001;T003;T007,Enterprise,"{""budget"": 50000, ""deadline"": ""2024-12-31"", ""region"": ""North America""}"
C002,StartupHub Inc,3,T002;T005,SMB,"{""budget"": 15000, ""deadline"": ""2024-10-15"", ""region"": ""Europe""}"
C003,Global Dynamics,4,T001;T004;T006;T008,Enterprise,"{""budget"": 75000, ""deadline"": ""2024-11-30"", ""region"": ""Asia Pacific""}"
C004,Local Services Ltd,2,T009;T010,SMB,"{""budget"": 8000, ""deadline"": ""2024-09-30"", ""region"": ""North America""}"
C005,Innovation Labs,5,T003;T007;T011;T012,Enterprise,"{""budget"": 100000, ""deadline"": ""2025-01-31"", ""region"": ""Europe""}"
C006,QuickFix Solutions,1,T013;T014,SMB,"{""budget"": 5000, ""deadline"": ""2024-08-31"", ""region"": ""Asia Pacific""}"
C007,MegaCorp International,5,T001;T006;T015,Enterprise,"{""budget"": 200000, ""deadline"": ""2025-03-31"", ""region"": ""Global""}"
C008,Boutique Consulting,3,T016;T017,SMB,"{""budget"": 25000, ""deadline"": ""2024-12-15"", ""region"": ""North America""}"
C009,ScaleUp Ventures,4,T002;T008;T018,Enterprise,"{""budget"": 60000, ""deadline"": ""2025-02-28"", ""region"": ""Europe""}"
C010,Community Services,2,T019;T020,Non-Profit,"{""budget"": 12000, ""deadline"": ""2024-11-15"", ""region"": ""North America""}"
